date,time,country,country_code,group_letter,spi,spi_offense,spi_defense,group,sixteen,quarter_finals,semi_finals,final,champion
12 June,22:00,Belgium,BEL,H,81.97,2.1378,0.7411,0.4866,0.7733,0.353985780328005,0.149689095713518,0.055044104250728,0.015018981414849
12 June,22:00,Bosnia and Herzegovina,BIH,F,80.31,2.3112,0.9862,0.1677,0.5722,0.266818819053295,0.114646832665834,0.032489479871936,0.00915218882601
12 June,22:00,Brazil,BRA,A,91.83,3.3717,0.5197,0.9754,0.9984,0.808181711659666,0.700443946554399,0.568245008259453,0.455679348899893
12 June,22:00,Chile,CHI,B,86.72,2.7115,0.7043,0.3442,0.6992,0.327277617464467,0.20765703167847,0.111372557413545,0.042170149866341
12 June,22:00,Ivory Coast,CIV,C,78.9,2.2467,1.0481,0.2385,0.5335,0.246403469198843,0.067737944444969,0.025138904365672,0.00605166358146
12 June,22:00,Cameroon,CMR,A,71.33,1.48,0.9905,0.0058,0.237,0.05147650948161,0.017503634539335,0.004542840622618,0.000600645104348
12 June,22:00,Colombia,COL,C,85.82,2.1811,0.4528,0.5239,0.7868,0.461524621709741,0.149453213017821,0.073247066531248,0.028042879206645
12 June,22:00,Costa Rica,CRC,D,74.08,1.3227,0.6992,0.0979,0.2666,0.102241671910796,0.018964871940767,0.005512915515007,0.001077285339286
12 June,22:00,Croatia,CRO,A,75.72,1.7517,0.9161,0.002,0.375,0.10207926645806,0.04097949506235,0.012765677860313,0.002138979893167
12 June,22:00,Ecuador,ECU,E,80.65,2.0297,0.7682,0.2496,0.5633,0.233767884864175,0.103205044237213,0.032582328322907,0.008762963308095
12 June,22:00,England,ENG,D,83.22,2.2077,0.689,0.3396,0.622,0.345972511472356,0.118536718919047,0.052358695902105,0.015803367393983
12 June,22:00,Spain,ESP,B,89.13,2.6879,0.4467,0.4822,0.7962,0.452643953985591,0.308585395836482,0.181589425916227,0.076067513027415
12 June,22:00,France,FRA,E,86.13,2.4857,0.6189,0.5262,0.7967,0.449936502343807,0.243437749977605,0.090282174949823,0.036948223501711
12 June,22:00,Germany,GER,G,88.88,3.1935,0.7751,0.6791,0.8833,0.685686089928329,0.449372751719816,0.195385935426115,0.1068039277453
12 June,22:00,Ghana,GHA,G,77.23,1.9078,0.9277,0.0807,0.3056,0.149683249979171,0.051101205342967,0.015282633222232,0.003107625982246
12 June,22:00,Greece,GRE,C,76.78,1.3359,0.5396,0.1391,0.3836,0.153884300377796,0.039278679432959,0.012485031568427,0.002465939499161
12 June,22:00,Honduras,HON,E,69.62,1.5622,1.1623,0.0553,0.1932,0.047280840451575,0.013717176508974,0.002879587640659,0.000399733147769
12 June,22:00,Iran,IRN,F,70.63,1.2969,0.888,0.0344,0.1849,0.056677011167264,0.015183289085478,0.002354750894298,0.000418528518446
12 June,22:00,Italy,ITA,D,79.54,1.987,0.8204,0.2089,0.4568,0.216716387412079,0.057237511782856,0.021307083392161,0.00533579969606
12 June,22:00,Japan,JPN,C,73.5,2.1306,1.3483,0.0985,0.2961,0.104757901451542,0.023308284843908,0.006475493477489,0.001022973403556
12 June,22:00,South Korea,KOR,H,72.39,1.6901,1.0873,0.1497,0.3921,0.104148491685371,0.029358319299354,0.005583872149211,0.00095821036011
12 June,22:00,Mexico,MEX,A,76.95,1.5531,0.6888,0.0168,0.3896,0.11062338178946,0.045816693072078,0.015022406707069,0.002663005963013
12 June,22:00,Netherlands,NED,B,82.5,2.3132,0.817,0.1581,0.4286,0.138179189194129,0.072794612700786,0.031487070354294,0.009296347291588
12 June,22:00,Nigeria,NGA,F,75.23,1.6678,0.8861,0.0723,0.3199,0.1187908953755,0.039477263074761,0.008040182019807,0.001774741738238
12 June,22:00,Portugal,POR,G,81.02,2.1406,0.8163,0.1523,0.4865,0.272619582410834,0.111902153228156,0.039074148764982,0.010115954276987
12 June,22:00,Russia,RUS,H,79.02,1.6563,0.6237,0.3058,0.6335,0.235097662849149,0.086351606705024,0.024239253585253,0.005744998753309
12 June,22:00,Switzerland,SUI,E,78.05,1.9845,0.9248,0.1689,0.4468,0.161116168971311,0.06476707686919,0.018907790164056,0.00427738354359
12 June,22:00,Uruguay,URU,D,83.35,2.2397,0.6997,0.3536,0.6546,0.368499136466858,0.12885706944395,0.057956627195031,0.017890918207775
12 June,22:00,USA,USA,G,77.42,2.0472,1.0139,0.0879,0.3246,0.161211874265711,0.05599499760416,0.017011269824257,0.003532284317001
13 June,09:30,Algeria,ALG,H,63.41,1.1202,1.1642,0.0607,0.2031,0.038006815497516,0.007915521265885,0.001001969113293,0.000124982295711
13 June,09:30,Argentina,ARG,F,90,2.8542,0.4498,0.7352,0.9227,0.665542504863416,0.465661123032166,0.282630242808099,0.128432884294163
13 June,09:30,Australia,AUS,B,69.47,1.638,1.232,0.0157,0.0824,0.009878999477838,0.003003657408335,0.000694081991037,9.8318937742E-05
13 June,09:30,Belgium,BEL,H,82,2.1387,0.7397,0.4946,0.777,0.357125970121872,0.150742643733861,0.055860917382368,0.015403932109252
13 June,09:30,Bosnia and Herzegovina,BIH,F,80.32,2.3119,0.9862,0.1628,0.5738,0.268737244214086,0.115049975721807,0.032621711545985,0.009333019595735
13 June,09:30,Brazil,BRA,A,91.64,3.3933,0.559,0.9767,0.9978,0.805344361377805,0.696335243450463,0.563121571454567,0.449711460146404
13 June,09:30,Chile,CHI,B,86.71,2.7085,0.7041,0.3455,0.6931,0.32667733161423,0.206968657711822,0.110947120519402,0.042258064718676
13 June,09:30,Ivory Coast,CIV,C,78.89,2.2468,1.0484,0.2349,0.5417,0.249365368150565,0.070108336357874,0.02596879396325,0.006274144857765
13 June,09:30,Cameroon,CMR,A,71.33,1.4802,0.9908,0.0069,0.2321,0.050405591757047,0.017092987166252,0.004429141450586,0.000595770561328
